t_s,naive_calls,actual_calls
0,0,0
0.5,1,1
1,3,1
1.5,4,1
2,5,1
2.5,6,1
3,8,1
3.5,9,1
4,10,1
4.5,11,1
5,13,1
5.5,14,1
6,15,1
6.5,16,1
7,18,1
7.5,19,1
8,20,1
8.5,21,1
9,23,1
9.5,24,1
10,25,1
10.5,26,1
11,28,1
11.5,29,1
12,30,1
12.5,31,1
13,33,1
13.5,34,1
14,35,1
14.5,36,1
15,38,1
15.5,39,1
16,40,1
16.5,41,1
17,43,1
17.5,44,1
18,45,1
18.5,46,1
19,48,1
19.5,49,1
20,50,1
20.5,51,1
21,53,1
21.5,54,1
22,55,1
22.5,56,1
23,58,1
23.5,59,1
24,60,1
24.5,61,1
25,63,1
25.5,64,1
26,65,1
26.5,66,1
27,68,1
27.5,69,1
28,70,1
28.5,71,1
29,73,1
29.5,74,1
30,75,1
30.5,76,2
31,78,2
31.5,79,2
32,80,2
32.5,81,2
33,83,2
33.5,84,2
34,85,2
34.5,86,2
35,88,2
35.5,89,2
36,90,2
36.5,91,2
37,93,2
37.5,94,2
38,95,2
38.5,96,2
39,98,2
39.5,99,2
40,100,2
40.5,101,2
41,103,2
41.5,104,2
42,105,2
42.5,106,2
43,108,2
43.5,109,2
44,110,2
44.5,111,2
45,113,2
45.5,114,2
46,115,2
46.5,116,2
47,118,2
47.5,119,2
48,120,2
48.5,121,2
49,123,2
49.5,124,2
50,125,2
50.5,126,2
51,128,2
51.5,129,2
52,130,2
52.5,131,2
53,133,2
53.5,134,2
54,135,2
54.5,136,2
55,138,2
55.5,139,2
56,140,2
56.5,141,2
57,143,2
57.5,144,2
58,145,2
58.5,146,2
59,148,2
59.5,149,2
60,150,2
